author_id,brand_tweets,usable_conversations
AmazonHelp,169840,82574
AppleSupport,106860,80717
Uber_Support,56270,41923
SpotifyCares,43265,28277
AmericanAir,36764,26386
Delta,42253,26165
comcastcares,33031,24063
TMobileHelp,34317,22819
SouthwestAir,28977,21634
Ask_Spectrum,25860,18531
Tesco,38573,16722
British_Airways,29361,16452
UPSHelp,17817,15523
hulu_support,21872,14952
VirginTrains,27817,14851
ChipotleTweets,18749,14392
sprintcare,22381,13560
XboxSupport,24557,13435
AskPlayStation,19098,12533
AskTarget,13218,11151
ATVIAssist,17650,11113
sainsburys,19466,10936
GWRHelp,19364,10732
AskLyft,11809,10170
AskPayPal,11298,9589
O2,16212,9556
Safaricom_Care,16077,9336
VerizonSupport,17966,8447
McDonalds,8478,8132
marksandspencer,11504,7981
ArgosHelpers,12174,7553
idea_cares,15724,7522
ChaseSupport,8811,6887
AirAsiaSupport,12829,6763
AldiUK,8114,6632
BofA_Help,12683,6583
SW_Help,12231,6224
Ask_WellsFargo,7578,6036
AirbnbHelp,8875,6032
Morrisons,10126,5958
AskeBay,9686,5662
AlaskaAir,7478,5629
JetBlue,8020,5181
AdobeCare,9917,5094
CoxHelp,7861,4874
MicrosoftHelps,11304,4458
AskAmex,11358,4300
airtel_care,9881,4023
HPSupport,7200,3841
LondonMidland,6822,3676
GreggsOfficial,4522,3344
AzureSupport,7565,3297
GloCare,6308,3219
DropboxSupport,5954,3180
AskPapaJohns,3908,3153
TacoBellTeam,4082,3110
Postmates_Help,3346,3010
CenturyLinkHelp,3801,2988
VirginAtlantic,4318,2770
Walmart,2643,2404
AskCiti,4081,2327
nationalrailenq,4444,2259
VirginAmerica,2815,2113
ATT,2790,2061
KFC_UKI_Help,2103,2017
DellCares,5336,1985
askpanera,2153,1978
IHGService,2643,1746
TfL,2243,1572
NikeSupport,3468,1563
ArbysCares,1904,1555
DoorDash_Help,1581,1509
GoDaddyHelp,1965,1451
DunkinDonuts,1290,1258
sizehelpteam,1482,1251
TwitterSupport,1290,1219
AsurionCares,1898,1074
Kimpton,1339,1054
SCsupport,1329,980
AWSSupport,1035,904
NortonSupport,2011,899
AskRBC,1011,839
NeweggService,1079,796
VMUcare,1381,727
PandoraSupport,1043,724
HiltonHelp,833,716
BoostCare,907,673
PearsonSupport,841,603
GooglePlayMusic,804,545
ask_progressive,612,543
USCellularCares,1177,541
YahooCare,906,538
MTNC_Care,784,527
asksalesforce,710,486
MOO,630,478
askvisa,709,473
OPPOCareIN,879,450
AskVirginMoney,914,396
KeyBank_Help,555,374
AskRobinhood,432,353
AskSeagate,639,346
AskTigogh,715,322
JackBox,266,233
AskDSC,210,198
mediatemplehelp,305,174
CarlsJr,196,165
HotelTonightCX,152,123
OfficeSupport,218,113
